danceability,energy,valence,tempo,loudness,acousticness
0.621,0.885,0.5539999999999999,109.728,-6.8260000000000005,0.0418
0.6579999999999999,0.5710000000000001,0.985,148.964,-11.972,0.106
0.448,0.784,0.236,136.245,-3.686,0.106
0.7240000000000001,0.7040000000000001,0.96,107.486,-8.258,0.113
0.561,0.909,0.71,127.172,-7.877999999999999,0.00118
0.607,0.599,0.735,119.842,-8.908,0.0253
0.607,0.422,0.563,130.47,-13.364,0.209
0.363,0.205,0.18,82.932,-9.301,0.916
0.664,0.66,0.873,84.345,-6.526,0.447
0.526,0.862,0.528,90.052,-6.002999999999999,0.0144
0.6779999999999999,0.544,0.963,122.735,-9.468,0.6679999999999999
0.805,0.5579999999999999,0.965,114.95,-5.226,0.16399999999999998
0.795,0.519,0.945,154.94799999999995,-9.514,0.13699999999999998
0.715,0.833,0.612,95.487,-5.379,0.0063100000000000005
0.407,0.8340000000000001,0.71,121.38,-9.224,0.0734
0.529,0.662,0.302,93.93,-11.745,0.153
0.785,0.519,0.66,98.081,-8.017000000000001,0.334
0.7809999999999999,0.556,0.968,125.999,-13.067,0.0661
0.484,0.731,0.51,101.654,-6.694,0.431
0.317,0.887,0.871,169.613,-7.292000000000002,0.000582
0.7190000000000001,0.703,0.7759999999999999,123.173,-8.306000000000001,0.231
0.597,0.581,0.885,107.202,-9.72,0.257
0.482,0.617,0.718,125.697,-12.931,0.00543
0.589,0.472,0.898,67.196,-8.749,0.614
0.421,0.79,0.279,162.024,-6.227,0.00205
0.424,0.698,0.447,148.953,-5.791,0.00124
0.552,0.616,0.5770000000000001,85.118,-9.832,0.27
0.374,0.568,0.111,84.73299999999998,-3.825,0.219
0.655,0.8190000000000001,0.7659999999999999,117.956,-4.852,0.000176
0.7040000000000001,0.103,0.468,84.475,-15.056,0.897
0.784,0.6609999999999999,0.649,100.07,-6.181,0.0681
0.675,0.911,0.8490000000000001,120.016,-5.075,0.0502
0.638,0.5589999999999999,0.6,63.15600000000001,-6.589,0.4370000000000001
0.407,0.147,0.0765,141.284,-8.822000000000003,0.857
0.18600000000000005,0.682,0.19,166.084,-8.737,0.106
0.772,0.685,0.501,130.033,-6.849,0.019
0.235,0.977,0.241,152.952,0.878,0.00353
0.742,0.289,0.71,147.986,-7.832999999999998,0.5429999999999999
0.516,0.513,0.6940000000000001,99.735,-10.762,0.159
0.539,0.452,0.928,163.101,-16.838,0.0238
0.5,0.6809999999999999,0.745,119.46,-9.556,0.114
0.708,0.79,0.657,131.075,-4.49,0.015
0.458,0.831,0.5720000000000001,81.531,-2.187,0.0031
0.472,0.75,0.529,109.251,-10.434,0.415
0.537,0.84,0.211,124.269,-4.626,0.2
0.599,0.787,0.8220000000000001,114.065,-4.708,2.07e-05
0.743,0.836,0.82,113.375,-6.465,0.0804
0.418,0.794,0.17800000000000002,129.434,-4.973,0.08
0.431,0.957,0.419,105.468,-0.982,0.0261
0.271,0.249,0.345,67.936,-11.623,0.98
0.436,0.5429999999999999,0.6629999999999999,148.282,-13.351,0.654
0.624,0.396,0.0388,111.401,-15.411,0.0647
0.6509999999999999,0.189,0.436,106.248,-17.965999999999994,0.888
0.7390000000000001,0.96,0.722,125.02,-2.293,0.146
0.568,0.7190000000000001,0.539,106.036,-5.4060000000000015,0.0892
0.632,0.586,0.89,114.243,-11.333,0.0983
0.5870000000000001,0.8740000000000001,0.469,95.012,-3.597,0.0546
0.62,0.807,0.529,75.979,-5.526,0.00496
0.7170000000000001,0.733,0.713,119.996,-4.985,0.0398
0.396,0.338,0.377,133.52200000000002,-10.872,0.198
0.5770000000000001,0.851,0.396,129.952,-3.975,0.0197
0.453,0.655,0.368,172.012,-4.22,0.0794
0.313,0.28600000000000003,0.287,80.925,-10.593,0.934
0.401,0.498,0.816,181.701,-10.682,0.394
0.674,0.789,0.918,129.804,-6.903,0.00178
0.5479999999999999,0.412,0.151,114.928,-7.398,0.852
0.31,0.403,0.466,134.48,-13.664,0.0726
0.46,0.873,0.485,146.247,-7.96,0.0161
0.609,0.617,0.5429999999999999,128.903,-7.091,0.0994
0.612,0.6,0.471,111.203,-10.945,0.15
0.774,0.75,0.927,118.015,-4.927,0.00207
0.65,0.306,0.605,118.068,-9.443,0.57
0.354,0.8079999999999999,0.397,195.956,-6.477,0.023
0.486,0.449,0.5489999999999999,100.456,-10.298,0.166
0.631,0.932,0.971,122.429,-4.142,0.0436
0.524,0.489,0.443,127.768,-7.8279999999999985,0.578
0.6679999999999999,0.809,0.392,82.87100000000002,-4.467,0.129
0.644,0.19,0.32,109.959,-13.068,0.685
0.259,0.473,0.539,90.348,-8.275,0.5920000000000001
0.484,0.711,0.49,148.189,-7.784,0.0183
0.73,0.622,0.752,90.973,-11.7,0.269
0.609,0.396,0.34700000000000003,73.985,-10.461,0.479
